x,y,z,UMeanMag(m/s)
-0.30,-0.25,0.02,3.40494318595626
-0.30,-0.20,0.02,2.76146074478111
-0.30,-0.15,0.02,1.64690450676801
-0.30,0.15,0.02,2.8760757830618
-0.30,0.20,0.02,2.40038775104494
-0.30,0.25,0.02,1.82480587602448
-0.25,-0.30,0.02,2.10827306182363
-0.25,-0.25,0.02,3.15352926957325
-0.25,-0.20,0.02,2.35987372997742
-0.25,-0.15,0.02,1.60637831873259
-0.25,-0.10,0.02,0.964120431464919
-0.25,-0.05,0.02,0.793735718252032
-0.25,0.00,0.02,0.881710697034466
-0.25,0.05,0.02,0.774373841355182
-0.25,0.10,0.02,2.94955075508775
-0.25,0.15,0.02,2.54077058050162
-0.25,0.20,0.02,1.90555625931653
-0.25,0.25,0.02,1.48497775661734
-0.25,0.30,0.02,1.24616231321746
-0.20,-0.30,0.02,2.58705787725018
-0.20,-0.25,0.02,2.64962557424076
-0.20,-0.20,0.02,1.99897444265274
-0.20,-0.15,0.02,1.57041938622652
-0.20,-0.10,0.02,1.28689627724712
-0.20,-0.05,0.02,1.23124087752759
-0.20,0.00,0.02,1.24855181935151
-0.20,0.05,0.02,1.51215677373426
-0.20,0.10,0.02,2.88586881607611
-0.20,0.15,0.02,2.29807999123198
-0.20,0.20,0.02,1.76555794426138
-0.20,0.25,0.02,1.45314956087743
-0.20,0.30,0.02,1.31968199400769
-0.15,-0.30,0.02,2.41453335610858
-0.15,-0.25,0.02,2.0797059882632
-0.15,-0.20,0.02,1.74130991344958
-0.15,-0.15,0.02,1.35662204142985
-0.15,-0.10,0.02,1.30914029798997
-0.15,-0.05,0.02,1.34093772241527
-0.15,0.00,0.02,1.46966166792421
-0.15,0.05,0.02,2.07503218171625
-0.15,0.10,0.02,2.78574219019162
-0.15,0.15,0.02,2.48983772887599
-0.15,0.20,0.02,2.18514314173611
-0.15,0.25,0.02,2.09951320763559
-0.15,0.30,0.02,2.0971065915025
-0.10,-0.25,0.02,1.70205516437396
-0.10,-0.20,0.02,1.47964272782977
-0.10,-0.15,0.02,1.1843752953667
-0.10,0.15,0.02,2.76457866338109
-0.10,0.20,0.02,2.78748734019829
-0.10,0.25,0.02,2.96639786883471
-0.05,-0.25,0.02,1.58474603694008
-0.05,-0.20,0.02,1.64635286327154
-0.05,-0.15,0.02,1.32791939125782
-0.05,0.15,0.02,2.43030821378354
-0.05,0.20,0.02,1.66572174063745
-0.05,0.25,0.02,0.803908197751565
0.00,-0.25,0.02,1.63986112924719
0.00,-0.20,0.02,1.51346712089273
0.00,-0.15,0.02,1.41172861045758
0.00,0.15,0.02,1.62621582748086
0.00,0.20,0.02,1.20865613300533
0.00,0.25,0.02,0.951468440846209
0.05,-0.25,0.02,1.88123778008384
0.05,-0.20,0.02,1.60341020314602
0.05,-0.15,0.02,1.30438231298496
0.05,0.15,0.02,1.19743548702616
0.05,0.20,0.02,1.29437949278611
0.05,0.25,0.02,1.06776386090249
0.10,-0.25,0.02,2.11126140142443
0.10,-0.20,0.02,1.75016190476191
0.10,-0.15,0.02,1.44262418228978
0.10,0.15,0.02,0.975838083133081
0.10,0.20,0.02,1.08073198998568
0.10,0.25,0.02,1.13064279088787
0.15,-0.30,0.02,2.60818443012505
0.15,-0.25,0.02,2.14439022517872
0.15,-0.20,0.02,1.76318161311192
0.15,-0.15,0.02,1.42765797251651
0.15,-0.10,0.02,1.09703804306327
0.15,-0.05,0.02,1.07071127480934
0.15,0.00,0.02,1.08067769020675
0.15,0.05,0.02,1.00345830648378
0.15,0.10,0.02,1.1152705529595
0.15,0.15,0.02,1.06770647213404
0.15,0.20,0.02,1.28041928980604
0.15,0.25,0.02,1.14201641136145
0.15,0.30,0.02,1.2357063341553
0.20,-0.30,0.02,2.33512486319876
0.20,-0.25,0.02,1.93323945620026
0.20,-0.20,0.02,1.68988607014669
0.20,-0.15,0.02,1.58816719094343
0.20,-0.10,0.02,1.24181051007148
0.20,-0.05,0.02,1.39318868369873
0.20,0.00,0.02,1.06271835402271
0.20,0.05,0.02,0.92327846343492
0.20,0.10,0.02,1.06280052007236
0.20,0.15,0.02,1.27096210175239
0.20,0.20,0.02,1.2891670054651
0.20,0.25,0.02,1.47429731429072
0.20,0.30,0.02,1.1769077069
0.25,-0.30,0.02,1.56746561873621
0.25,-0.25,0.02,1.76834084014665
0.25,-0.20,0.02,1.75151092843076
0.25,-0.15,0.02,1.67640815963807
0.25,-0.10,0.02,1.67477026109933
0.25,-0.05,0.02,1.41745209006921
0.25,0.00,0.02,1.10364789925502
0.25,0.05,0.02,0.96826645443035
0.25,0.10,0.02,1.04130062618927
0.25,0.15,0.02,1.46830512244939
0.25,0.20,0.02,1.5836880967778
0.25,0.25,0.02,1.78764692269911
0.25,0.30,0.02,1.84687174600072
0.30,-0.25,0.02,1.78682393370808
0.30,-0.20,0.02,1.99736487136791
0.30,-0.15,0.02,2.30402069094287
0.30,0.15,0.02,1.89567260284332
0.30,0.20,0.02,2.50222188227934
0.30,0.25,0.02,3.20075282318283

