x,y,z,UMeanMag(m/s)
-0.30,-0.25,0.02,2.90770472441586
-0.30,-0.20,0.02,2.99989542831674
-0.30,-0.15,0.02,2.35481507413045
-0.30,0.15,0.02,2.48910904291553
-0.30,0.20,0.02,2.86105133802732
-0.30,0.25,0.02,2.68235695269685
-0.25,-0.30,0.02,1.13318233626391
-0.25,-0.25,0.02,2.77159290159494
-0.25,-0.20,0.02,2.68952795693742
-0.25,-0.15,0.02,2.16715465605384
-0.25,-0.10,0.02,1.12375002985324
-0.25,-0.05,0.02,0.911331297777517
-0.25,0.00,0.02,0.931566744057491
-0.25,0.05,0.02,0.965066938690538
-0.25,0.10,0.02,1.27175878514218
-0.25,0.15,0.02,2.15692789741426
-0.25,0.20,0.02,2.45401663710754
-0.25,0.25,0.02,2.44788590232606
-0.25,0.30,0.02,1.34517633605072
-0.20,-0.30,0.02,1.39315003334267
-0.20,-0.25,0.02,2.48911739434639
-0.20,-0.20,0.02,2.36526119274814
-0.20,-0.15,0.02,1.91652455701073
-0.20,-0.10,0.02,1.24525380148054
-0.20,-0.05,0.02,1.20110550400968
-0.20,0.00,0.02,1.28543758043873
-0.20,0.05,0.02,1.29102657584961
-0.20,0.10,0.02,1.22791033171536
-0.20,0.15,0.02,1.97131580547504
-0.20,0.20,0.02,2.24124305783327
-0.20,0.25,0.02,2.23016722577556
-0.20,0.30,0.02,1.45407537414382
-0.15,-0.30,0.02,1.53605834079976
-0.15,-0.25,0.02,2.2071634191274
-0.15,-0.20,0.02,2.17931956814813
-0.15,-0.15,0.02,1.68810898217917
-0.15,-0.10,0.02,1.36244041730137
-0.15,-0.05,0.02,1.12111577392122
-0.15,0.00,0.02,1.34852614814815
-0.15,0.05,0.02,1.15493040587238
-0.15,0.10,0.02,1.18342803123572
-0.15,0.15,0.02,1.74221419749493
-0.15,0.20,0.02,2.07945212627786
-0.15,0.25,0.02,2.04985018973005
-0.15,0.30,0.02,1.49546267139326
-0.10,-0.25,0.02,2.03325327121227
-0.10,-0.20,0.02,2.02216086625519
-0.10,-0.15,0.02,1.61522039515615
-0.10,0.15,0.02,1.75388056973328
-0.10,0.20,0.02,1.98884698245699
-0.10,0.25,0.02,1.93700743404133
-0.05,-0.25,0.02,1.8101397941812
-0.05,-0.20,0.02,1.93674507381305
-0.05,-0.15,0.02,1.43982148594595
-0.05,0.15,0.02,1.32769439684702
-0.05,0.20,0.02,1.66112322315973
-0.05,0.25,0.02,1.72857915511948
0.00,-0.25,0.02,1.61221209512437
0.00,-0.20,0.02,1.6138828678376
0.00,-0.15,0.02,1.36285911104759
0.00,0.15,0.02,1.31670474338926
0.00,0.20,0.02,1.50752308470821
0.00,0.25,0.02,1.54912823361357
0.05,-0.25,0.02,1.50481474224602
0.05,-0.20,0.02,1.3863043289693
0.05,-0.15,0.02,1.25182015265736
0.05,0.15,0.02,1.243332135299
0.05,0.20,0.02,1.5772801371218
0.05,0.25,0.02,1.50047559724125
0.10,-0.25,0.02,1.66030567833092
0.10,-0.20,0.02,1.49385482539257
0.10,-0.15,0.02,1.36212132369718
0.10,0.15,0.02,1.24275366176753
0.10,0.20,0.02,1.43705201186904
0.10,0.25,0.02,1.52667342531035
0.15,-0.30,0.02,1.16550834378204
0.15,-0.25,0.02,1.69507226180553
0.15,-0.20,0.02,1.55394849964652
0.15,-0.15,0.02,1.42017355077818
0.15,-0.10,0.02,0.882123599300212
0.15,-0.05,0.02,0.85252354081562
0.15,0.00,0.02,0.929403636097659
0.15,0.05,0.02,0.659237197479734
0.15,0.10,0.02,1.08684055886008
0.15,0.15,0.02,1.42402929372506
0.15,0.20,0.02,1.58816629774462
0.15,0.25,0.02,1.5229392865493
0.15,0.30,0.02,1.17929887822194
0.20,-0.30,0.02,1.24793253811217
0.20,-0.25,0.02,1.62124237851204
0.20,-0.20,0.02,1.51323663711528
0.20,-0.15,0.02,1.56038659478855
0.20,-0.10,0.02,1.10436894307216
0.20,-0.05,0.02,1.31076390206735
0.20,0.00,0.02,1.12138056854182
0.20,0.05,0.02,0.993789635899059
0.20,0.10,0.02,1.18547030054897
0.20,0.15,0.02,1.56182824108041
0.20,0.20,0.02,1.65138751741535
0.20,0.25,0.02,1.68663888136344
0.20,0.30,0.02,1.2801293128363
0.25,-0.30,0.02,1.23838526598068
0.25,-0.25,0.02,1.62404502791783
0.25,-0.20,0.02,1.68270941071573
0.25,-0.15,0.02,1.48572085422669
0.25,-0.10,0.02,1.28431458826245
0.25,-0.05,0.02,1.11291514303771
0.25,0.00,0.02,1.03293474633571
0.25,0.05,0.02,1.02378721243009
0.25,0.10,0.02,1.11258502688618
0.25,0.15,0.02,1.61769300082663
0.25,0.20,0.02,1.64554332365035
0.25,0.25,0.02,1.69522915352748
0.25,0.30,0.02,1.40428845140728
0.30,-0.25,0.02,1.57203064123149
0.30,-0.20,0.02,1.6319057725025
0.30,-0.15,0.02,1.50397033569184
0.30,0.15,0.02,1.61668217084966
0.30,0.20,0.02,1.73554741648315
0.30,0.25,0.02,1.68860238496981
